POAM ID,Controls,Weakness Name,Weakness Description,Weakness Detector Source,Weakness Source Identifier,Asset Identifier,Point of Contact,Resources Required,Remediation Plan,Original Detection Date,Scheduled Completion Date,Status Date,Vendor Dependency,Last Vendor Check-in Date,Vendor Dependent Product Name,Original Risk Rating,Adjusted Risk Rating,Risk Adjustment,False Positive,Operational Requirement,Deviation Rationale,Supporting Documents,Comments,Binding Operational Directive 22-01 tracking,Binding Operational Directive 22-01 Due Date,CVE
"V-1","RA-5","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Information Input Validation","SI-10","CWE-22","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","6.8","6.8","N/A","Grype","","","","","","","CVE-2007-4559"
"V-2","RA-5, SI-2","Improper Input Validation","Information Input Validation","SI-10","CWE-20","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.17-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2023-24329"
"V-3","RA-5, SI-2","Improper Input Validation","Information Input Validation","SI-10","CWE-20","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.18-r4","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.3","5.3","N/A","Grype","","","","","","","CVE-2023-27043"
"V-4","RA-5, SI-2","","","","CWE-287","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.1.1-r2","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.3","5.3","N/A","Grype","","","","","","","CVE-2023-2975"
"V-5","RA-5, SI-2","","","","CWE-1333","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.1.1-r3","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.3","5.3","N/A","Grype","","","","","","","CVE-2023-3446"
"V-6","RA-5, SI-2","","","","CWE-834","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.1.1-r4","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.3","5.3","N/A","Grype","","","","","","","CVE-2023-3817"
"V-7","RA-5, SI-2","","","","null","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.18-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.3","5.3","N/A","Grype","","","","","","","CVE-2023-40217"
"V-8","RA-5, SI-2","Out-of-bounds Read","Information Input Validation","SI-10","CWE-125","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.38-r2","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","6.5","6.5","N/A","Grype","","","","","","","CVE-2023-4527"
"V-9","RA-5, SI-2","Integer Overflow or Wraparound","Information Input Validation","SI-10","CWE-190","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 1.3-r1","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","9.8","9.8","N/A","Grype","","","","","","","CVE-2023-45853"
"V-10","RA-5, SI-2","Out-of-bounds Write","Information Input Validation","SI-10","CWE-787","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.38-r5","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.8","7.8","N/A","Grype","","","","","","","CVE-2023-4911"
"V-11","RA-5, SI-2","Improper Release of Memory Before Removing Last Reference","","","CWE-401","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.38-r3","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2023-5156"
"V-12","RA-5, SI-2","","","","CWE-684","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.1.4-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2023-5363"
"V-13","RA-5, SI-2","","","","CWE-754","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.1.4-r1","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.3","5.3","N/A","Grype","","","","","","","CVE-2023-5678"
"V-14","RA-5, SI-2","","","","CWE-606","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.3.0-r5","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2023-6237"
"V-15","RA-5, SI-2","Out-of-bounds Write","Information Input Validation","SI-10","CWE-787","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.38-r11","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.8","7.8","N/A","Grype","","","","","","","CVE-2023-6246"
"V-16","RA-5, SI-2","","","","null","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.19-r0","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2023-6597"
"V-17","RA-5, SI-2","Out-of-bounds Write","Information Input Validation","SI-10","CWE-787","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.38-r11","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.5","7.5","N/A","Grype","","","","","","","CVE-2023-6779"
"V-18","RA-5, SI-2","Incorrect Calculation of Buffer Size","Information Input Validation","SI-10","CWE-131","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 2.38-r11","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","5.3","5.3","N/A","Grype","","","","","","","CVE-2023-6780"
"V-19","RA-5","Improper Restriction of Operations within the Bounds of a Memory Buffer","Information Input Validation","SI-10","CWE-119","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","pending upstream fix","","pending upstream fix","2026-03-28","Chainguard","2026-03-28","Chainguard Images","7.3","7.3","N/A","Grype","","","","","","","CVE-2023-7104"
"V-20","RA-5, SI-2","Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')","Information in Shared Resources","SC-4","CWE-362","cgr.dev/chainguard-private/python:3.9.16 (@sha256:20e196e85de2faaa9fd56f8246f073c5333c2aa5ffba2256d2022091b6aa3d09)","John Osborne","","Fix available, update required: update to 3.9.19-r2","","","2026-03-28","Chainguard","2026-03-28","Chainguard Images","","","N/A","Grype","","","","","","","CVE-2024-0397"
